S.No,IAM User Name,User Id,User ARN,User Creation Date,Attached Policies
1,admin,AIDARZAWOTARKEJRJHUTM,arn:aws:iam::122453661730:user/admin,2020-07-04 15:27:15+00:00,"iam.User.attached_policiesCollectionManager(iam.User(name='admin'), iam.Policy)"
2,dowithpython,AIDARZAWOTARFQUI53D3C,arn:aws:iam::122453661730:user/dowithpython,2020-10-21 17:40:36+00:00,"iam.User.attached_policiesCollectionManager(iam.User(name='dowithpython'), iam.Policy)"
3,dowithpython1,AIDARZAWOTARG5JGEJKL3,arn:aws:iam::122453661730:user/dowithpython1,2020-10-21 17:42:12+00:00,"iam.User.attached_policiesCollectionManager(iam.User(name='dowithpython1'), iam.Policy)"
4,dowithpython2,AIDARZAWOTARLTCS6F3Q3,arn:aws:iam::122453661730:user/dowithpython2,2020-10-21 17:47:14+00:00,"iam.User.attached_policiesCollectionManager(iam.User(name='dowithpython2'), iam.Policy)"
5,lenovokeypad,AIDARZAWOTARAJI4FGBOJ,arn:aws:iam::122453661730:user/lenovokeypad,2020-10-10 09:37:06+00:00,"iam.User.attached_policiesCollectionManager(iam.User(name='lenovokeypad'), iam.Policy)"
6,logitech123,AIDARZAWOTARGDSZEMMGX,arn:aws:iam::122453661730:user/logitech123,2020-10-21 18:18:02+00:00,"iam.User.attached_policiesCollectionManager(iam.User(name='logitech123'), iam.Policy)"
7,logitech1234,AIDARZAWOTARDED5WSHZB,arn:aws:iam::122453661730:user/logitech1234,2020-10-21 18:19:52+00:00,"iam.User.attached_policiesCollectionManager(iam.User(name='logitech1234'), iam.Policy)"
8,logitech1235,AIDARZAWOTARAUGANL6GD,arn:aws:iam::122453661730:user/logitech1235,2020-10-21 18:21:59+00:00,"iam.User.attached_policiesCollectionManager(iam.User(name='logitech1235'), iam.Policy)"
9,logitech12356,AIDARZAWOTARNFLK64AVL,arn:aws:iam::122453661730:user/logitech12356,2020-10-21 18:22:34+00:00,"iam.User.attached_policiesCollectionManager(iam.User(name='logitech12356'), iam.Policy)"
10,logitech12357,AIDARZAWOTARGO3B3QH7H,arn:aws:iam::122453661730:user/logitech12357,2020-10-21 18:23:05+00:00,"iam.User.attached_policiesCollectionManager(iam.User(name='logitech12357'), iam.Policy)"
11,unibic123,AIDARZAWOTARPQFBOQS6M,arn:aws:iam::122453661730:user/unibic123,2020-10-22 17:51:50+00:00,"iam.User.attached_policiesCollectionManager(iam.User(name='unibic123'), iam.Policy)"
12,unibic1234,AIDARZAWOTARFUKNDFWWR,arn:aws:iam::122453661730:user/unibic1234,2020-10-22 17:53:32+00:00,"iam.User.attached_policiesCollectionManager(iam.User(name='unibic1234'), iam.Policy)"
13,valaxy,AIDARZAWOTARNATKSQWG3,arn:aws:iam::122453661730:user/valaxy,2020-07-09 15:13:30+00:00,"iam.User.attached_policiesCollectionManager(iam.User(name='valaxy'), iam.Policy)"
14,valaxy1,AIDARZAWOTARAEUOOG4SB,arn:aws:iam::122453661730:user/valaxy1,2020-07-09 15:14:28+00:00,"iam.User.attached_policiesCollectionManager(iam.User(name='valaxy1'), iam.Policy)"
